date;class;focuses;uf
2025/12;Fogo em áreas de desmatamento recente;2;TOCANTINS
2025/12;Fogo em áreas de desmatamento consolidado;10;TOCANTINS
2025/11;Fogo em áreas de vegetação nativa;1;TOCANTINS
2025/11;Fogo em áreas de desmatamento recente;15;TOCANTINS
2025/11;Fogo em áreas de desmatamento consolidado;78;TOCANTINS
2025/10;Fogo em áreas de vegetação nativa;1;TOCANTINS
2025/10;Fogo em áreas de desmatamento recente;20;TOCANTINS
2025/10;Fogo em áreas de desmatamento consolidado;103;TOCANTINS
2025/09;Fogo em áreas de vegetação nativa;2;TOCANTINS
2025/09;Fogo em áreas de desmatamento recente;4;TOCANTINS
2025/09;Fogo em áreas de desmatamento consolidado;110;TOCANTINS
2025/08;Fogo em áreas de desmatamento recente;2;TOCANTINS
2025/08;Fogo em áreas de desmatamento consolidado;32;TOCANTINS
2025/07;Fogo em áreas de desmatamento recente;1;TOCANTINS
2025/07;Fogo em áreas de desmatamento consolidado;17;TOCANTINS
2025/06;Fogo em áreas de desmatamento consolidado;10;TOCANTINS
2025/05;Fogo em áreas de desmatamento consolidado;16;TOCANTINS
2025/04;Fogo em áreas de desmatamento recente;2;TOCANTINS
2025/04;Fogo em áreas de desmatamento consolidado;1;TOCANTINS
2025/03;Fogo em áreas de desmatamento consolidado;2;TOCANTINS
2026/01;Fogo em áreas de desmatamento consolidado;4;TOCANTINS
2025/12;Fogo em áreas de vegetação nativa;8;TOCANTINS
2025/12;Fogo em áreas de desmatamento recente;58;TOCANTINS
2025/12;Fogo em áreas de desmatamento consolidado;49;TOCANTINS
2025/11;Fogo em áreas de vegetação nativa;104;TOCANTINS
2025/11;Fogo em outras áreas;1;TOCANTINS
2025/11;Fogo em áreas de desmatamento recente;329;TOCANTINS
2025/11;Fogo em áreas de desmatamento consolidado;275;TOCANTINS
2025/10;Fogo em áreas de vegetação nativa;909;TOCANTINS
2025/10;Fogo em outras áreas;9;TOCANTINS
2025/10;Fogo em áreas de desmatamento recente;616;TOCANTINS
2025/10;Fogo em áreas de desmatamento consolidado;770;TOCANTINS
2025/09;Fogo em áreas de vegetação nativa;1172;TOCANTINS
2025/09;Fogo em outras áreas;5;TOCANTINS
2025/09;Fogo em áreas de desmatamento recente;464;TOCANTINS
2025/09;Fogo em áreas de desmatamento consolidado;894;TOCANTINS
2025/08;Fogo em áreas de vegetação nativa;950;TOCANTINS
2025/08;Fogo em áreas de desmatamento recente;218;TOCANTINS
2025/08;Fogo em áreas de desmatamento consolidado;339;TOCANTINS
2025/07;Fogo em áreas de vegetação nativa;742;TOCANTINS
2025/07;Fogo em outras áreas;2;TOCANTINS
2025/07;Fogo em áreas de desmatamento recente;347;TOCANTINS
2025/07;Fogo em áreas de desmatamento consolidado;266;TOCANTINS
2025/06;Fogo em áreas de vegetação nativa;476;TOCANTINS
2025/06;Fogo em outras áreas;1;TOCANTINS
2025/06;Fogo em áreas de desmatamento recente;457;TOCANTINS
2025/06;Fogo em áreas de desmatamento consolidado;287;TOCANTINS
2025/05;Fogo em áreas de vegetação nativa;232;TOCANTINS
2025/05;Fogo em áreas de desmatamento recente;417;TOCANTINS
2025/05;Fogo em áreas de desmatamento consolidado;397;TOCANTINS
2025/04;Fogo em áreas de vegetação nativa;18;TOCANTINS
2025/04;Fogo em áreas de desmatamento recente;45;TOCANTINS
2025/04;Fogo em áreas de desmatamento consolidado;53;TOCANTINS
2025/03;Fogo em áreas de vegetação nativa;14;TOCANTINS
2025/03;Fogo em áreas de desmatamento recente;45;TOCANTINS
2025/03;Fogo em áreas de desmatamento consolidado;51;TOCANTINS
2025/02;Fogo em áreas de vegetação nativa;21;TOCANTINS
2025/02;Fogo em áreas de desmatamento recente;24;TOCANTINS
2025/02;Fogo em áreas de desmatamento consolidado;28;TOCANTINS
2026/02;Fogo em áreas de desmatamento recente;7;TOCANTINS
2026/02;Fogo em áreas de desmatamento consolidado;7;TOCANTINS
2026/01;Fogo em áreas de vegetação nativa;12;TOCANTINS
2026/01;Fogo em áreas de desmatamento recente;57;TOCANTINS
2026/01;Fogo em áreas de desmatamento consolidado;50;TOCANTINS
2025/07;Fogo em áreas de vegetação nativa;6;SÃO PAULO
2025/03;Fogo em áreas de desmatamento consolidado;26;SÃO PAULO
2025/04;Fogo em áreas de desmatamento consolidado;13;SÃO PAULO
2025/05;Fogo em áreas de desmatamento consolidado;36;SÃO PAULO
2025/05;Fogo em áreas de desmatamento recente;4;SÃO PAULO
2025/06;Fogo em áreas de desmatamento consolidado;46;SÃO PAULO
